Species1,Species2,Count
Carnaby's Black Cockatoo,Carnaby's Black Cockatoo,141
Regent Honeyeater,Regent Honeyeater,437
Green Turtle,Green Turtle,301
Green Turtle,Regent Honeyeater,73
Regent Honeyeater,Green Turtle,73
Swift Parrot,Swift Parrot,593
Regent Honeyeater,Swift Parrot,319
Swift Parrot,Regent Honeyeater,319
Growling Grass Frog,Growling Grass Frog,358
Growling Grass Frog,Regent Honeyeater,97
Regent Honeyeater,Growling Grass Frog,97
Australasian Bittern,Australasian Bittern,660
Northern Quoll,Northern Quoll,247
Malleefowl,Malleefowl,280
Southern Bent-wing Bat,Southern Bent-wing Bat,99
Malleefowl,Southern Bent-wing Bat,24
Southern Bent-wing Bat,Malleefowl,24
Orange-bellied Parrot,Orange-bellied Parrot,208
Malleefowl,Orange-bellied Parrot,33
Orange-bellied Parrot,Malleefowl,33
Red Goshawk,Red Goshawk,323
Olive Ridley Turtle,Olive Ridley Turtle,115
Koala,Koala,470
Koala,Regent Honeyeater,278
Regent Honeyeater,Koala,278
Australasian Bittern,Regent Honeyeater,280
Regent Honeyeater,Australasian Bittern,280
Australasian Bittern,Swift Parrot,358
Swift Parrot,Australasian Bittern,358
Australasian Bittern,Malleefowl,118
Malleefowl,Australasian Bittern,118
Australasian Bittern,Growling Grass Frog,245
Growling Grass Frog,Australasian Bittern,245
Australasian Bittern,Southern Bent-wing Bat,68
Southern Bent-wing Bat,Australasian Bittern,68
Australasian Bittern,Orange-bellied Parrot,153
Orange-bellied Parrot,Australasian Bittern,153
Australian Sea-lion,Australian Sea-lion,104
Australasian Bittern,Australian Sea-lion,53
Australian Sea-lion,Australasian Bittern,53
Eastern Curlew,Eastern Curlew,465
Australasian Bittern,Eastern Curlew,237
Eastern Curlew,Australasian Bittern,237
Plains-wanderer,Plains-wanderer,226
Australasian Bittern,Plains-wanderer,143
Plains-wanderer,Australasian Bittern,143
Malleefowl,Plains-wanderer,62
Plains-wanderer,Malleefowl,62
Eastern Hooded Plover,Eastern Hooded Plover,289
Australian Sea-lion,Malleefowl,44
Malleefowl,Australian Sea-lion,44
Australasian Bittern,Koala,222
Koala,Australasian Bittern,222
Green Turtle,Northern Quoll,90
Northern Quoll,Green Turtle,90
Northern Quoll,Red Goshawk,165
Red Goshawk,Northern Quoll,165
Koala,Red Goshawk,221
Red Goshawk,Koala,221
Malleefowl,Swift Parrot,59
Swift Parrot,Malleefowl,59
Growling Grass Frog,Malleefowl,85
Malleefowl,Growling Grass Frog,85
Orange-bellied Parrot,Regent Honeyeater,55
Regent Honeyeater,Orange-bellied Parrot,55
Orange-bellied Parrot,Swift Parrot,77
Swift Parrot,Orange-bellied Parrot,77
Growling Grass Frog,Orange-bellied Parrot,106
Orange-bellied Parrot,Growling Grass Frog,106
Orange-bellied Parrot,Southern Bent-wing Bat,45
Southern Bent-wing Bat,Orange-bellied Parrot,45
Australian Sea-lion,Orange-bellied Parrot,23
Orange-bellied Parrot,Australian Sea-lion,23
Australian Sea-lion,Green Turtle,20
Green Turtle,Australian Sea-lion,20
Growling Grass Frog,Swift Parrot,202
Swift Parrot,Growling Grass Frog,202
Koala,Swift Parrot,290
Swift Parrot,Koala,290
Malleefowl,Regent Honeyeater,29
Regent Honeyeater,Malleefowl,29
Green Turtle,Malleefowl,18
Malleefowl,Green Turtle,18
Australasian Bittern,Eastern Hooded Plover,192
Eastern Hooded Plover,Australasian Bittern,192
Australasian Bittern,Carnaby's Black Cockatoo,59
Carnaby's Black Cockatoo,Australasian Bittern,59
Green Turtle,Olive Ridley Turtle,112
Olive Ridley Turtle,Green Turtle,112
Eastern Curlew,Red Goshawk,124
Red Goshawk,Eastern Curlew,124
Eastern Curlew,Malleefowl,51
Malleefowl,Eastern Curlew,51
Australian Sea-lion,Eastern Curlew,39
Eastern Curlew,Australian Sea-lion,39
Eastern Curlew,Plains-wanderer,42
Plains-wanderer,Eastern Curlew,42
Eastern Curlew,Koala,143
Koala,Eastern Curlew,143
Australian Sea-lion,Carnaby's Black Cockatoo,43
Carnaby's Black Cockatoo,Australian Sea-lion,43
Carnaby's Black Cockatoo,Eastern Curlew,35
Eastern Curlew,Carnaby's Black Cockatoo,35
Koala,Plains-wanderer,21
Plains-wanderer,Koala,21
Brush-tailed Rock-wallaby,Brush-tailed Rock-wallaby,101
Brush-tailed Rock-wallaby,Koala,95
Koala,Brush-tailed Rock-wallaby,95
New Holland Mouse,New Holland Mouse,144
Koala,New Holland Mouse,106
New Holland Mouse,Koala,106
Growling Grass Frog,Plains-wanderer,136
Plains-wanderer,Growling Grass Frog,136
Australian Sea-lion,Plains-wanderer,13
Plains-wanderer,Australian Sea-lion,13
Eastern Curlew,Eastern Hooded Plover,122
Eastern Hooded Plover,Eastern Curlew,122
Plains-wanderer,Regent Honeyeater,72
Regent Honeyeater,Plains-wanderer,72
Plains-wanderer,Red Goshawk,1
Red Goshawk,Plains-wanderer,1
Plains-wanderer,Swift Parrot,93
Swift Parrot,Plains-wanderer,93
Koala,Malleefowl,29
Malleefowl,Koala,29
Growling Grass Frog,Southern Bent-wing Bat,66
Southern Bent-wing Bat,Growling Grass Frog,66
Growling Grass Frog,Koala,28
Koala,Growling Grass Frog,28
Eastern Curlew,Green Turtle,147
Green Turtle,Eastern Curlew,147
Eastern Curlew,Northern Quoll,113
Northern Quoll,Eastern Curlew,113
Eastern Hooded Plover,Orange-bellied Parrot,138
Orange-bellied Parrot,Eastern Hooded Plover,138
Australian Sea-lion,Eastern Hooded Plover,42
Eastern Hooded Plover,Australian Sea-lion,42
Eastern Hooded Plover,Regent Honeyeater,84
Regent Honeyeater,Eastern Hooded Plover,84
Eastern Hooded Plover,Green Turtle,20
Green Turtle,Eastern Hooded Plover,20
Eastern Hooded Plover,Swift Parrot,138
Swift Parrot,Eastern Hooded Plover,138
Eastern Hooded Plover,Malleefowl,37
Malleefowl,Eastern Hooded Plover,37
Eastern Hooded Plover,Growling Grass Frog,120
Growling Grass Frog,Eastern Hooded Plover,120
Eastern Hooded Plover,Plains-wanderer,52
Plains-wanderer,Eastern Hooded Plover,52
Eastern Hooded Plover,New Holland Mouse,38
New Holland Mouse,Eastern Hooded Plover,38
Carnaby's Black Cockatoo,Green Turtle,32
Green Turtle,Carnaby's Black Cockatoo,32
Carnaby's Black Cockatoo,Malleefowl,65
Malleefowl,Carnaby's Black Cockatoo,65
Koala,Northern Quoll,119
Northern Quoll,Koala,119
Eastern Curlew,Orange-bellied Parrot,77
Orange-bellied Parrot,Eastern Curlew,77
Southern Bent-wing Bat,Swift Parrot,38
Swift Parrot,Southern Bent-wing Bat,38
Brush-tailed Rock-wallaby,Regent Honeyeater,59
Regent Honeyeater,Brush-tailed Rock-wallaby,59
Brush-tailed Rock-wallaby,Swift Parrot,75
Swift Parrot,Brush-tailed Rock-wallaby,75
New Holland Mouse,Regent Honeyeater,99
Regent Honeyeater,New Holland Mouse,99
Northern Quoll,Olive Ridley Turtle,50
Olive Ridley Turtle,Northern Quoll,50
Red Goshawk,Regent Honeyeater,114
Regent Honeyeater,Red Goshawk,114
Green Turtle,Red Goshawk,81
Red Goshawk,Green Turtle,81
Olive Ridley Turtle,Red Goshawk,51
Red Goshawk,Olive Ridley Turtle,51
Brush-tailed Rock-wallaby,Red Goshawk,48
Red Goshawk,Brush-tailed Rock-wallaby,48
Native Guava,Native Guava,179
Australasian Bittern,Native Guava,115
Native Guava,Australasian Bittern,115
Australasian Bittern,Northern Quoll,40
Northern Quoll,Australasian Bittern,40
Australasian Bittern,Red Goshawk,91
Red Goshawk,Australasian Bittern,91
Eastern Curlew,Native Guava,71
Native Guava,Eastern Curlew,71
Eastern Curlew,Regent Honeyeater,135
Regent Honeyeater,Eastern Curlew,135
Eastern Curlew,Swift Parrot,157
Swift Parrot,Eastern Curlew,157
Koala,Native Guava,178
Native Guava,Koala,178
Native Guava,Northern Quoll,41
Northern Quoll,Native Guava,41
Native Guava,Red Goshawk,110
Red Goshawk,Native Guava,110
Native Guava,Regent Honeyeater,131
Regent Honeyeater,Native Guava,131
Native Guava,Swift Parrot,153
Swift Parrot,Native Guava,153
Northern Quoll,Regent Honeyeater,39
Regent Honeyeater,Northern Quoll,39
Northern Quoll,Swift Parrot,55
Swift Parrot,Northern Quoll,55
Red Goshawk,Swift Parrot,143
Swift Parrot,Red Goshawk,143
Orange-bellied Parrot,Plains-wanderer,52
Plains-wanderer,Orange-bellied Parrot,52
Eastern Curlew,New Holland Mouse,43
New Holland Mouse,Eastern Curlew,43
Eastern Curlew,Olive Ridley Turtle,59
Olive Ridley Turtle,Eastern Curlew,59
New Holland Mouse,Swift Parrot,116
Swift Parrot,New Holland Mouse,116
Brush-tailed Rock-wallaby,New Holland Mouse,38
New Holland Mouse,Brush-tailed Rock-wallaby,38
Green Turtle,Koala,85
Koala,Green Turtle,85
Koala,Olive Ridley Turtle,33
Olive Ridley Turtle,Koala,33
Eastern Hooded Plover,Southern Bent-wing Bat,26
Southern Bent-wing Bat,Eastern Hooded Plover,26
Native Guava,New Holland Mouse,45
New Holland Mouse,Native Guava,45
Olive Ridley Turtle,Regent Honeyeater,12
Regent Honeyeater,Olive Ridley Turtle,12
Australasian Bittern,New Holland Mouse,85
New Holland Mouse,Australasian Bittern,85
Australasian Bittern,Green Turtle,73
Green Turtle,Australasian Bittern,73
Green Turtle,Swift Parrot,50
Swift Parrot,Green Turtle,50
Plains-wanderer,Southern Bent-wing Bat,30
Southern Bent-wing Bat,Plains-wanderer,30
Australian Sea-lion,Southern Bent-wing Bat,7
Southern Bent-wing Bat,Australian Sea-lion,7
Eastern Curlew,Growling Grass Frog,84
Growling Grass Frog,Eastern Curlew,84
New Holland Mouse,Northern Quoll,6
Northern Quoll,New Holland Mouse,6
New Holland Mouse,Red Goshawk,27
Red Goshawk,New Holland Mouse,27
Brush-tailed Rock-wallaby,Malleefowl,9
Malleefowl,Brush-tailed Rock-wallaby,9
Brush-tailed Rock-wallaby,Growling Grass Frog,5
Growling Grass Frog,Brush-tailed Rock-wallaby,5
Brush-tailed Rock-wallaby,Native Guava,33
Native Guava,Brush-tailed Rock-wallaby,33
Eastern Hooded Plover,Koala,23
Koala,Eastern Hooded Plover,23
Brush-tailed Rock-wallaby,Northern Quoll,13
Northern Quoll,Brush-tailed Rock-wallaby,13
Green Turtle,Native Guava,32
Native Guava,Green Turtle,32
Growling Grass Frog,New Holland Mouse,23
New Holland Mouse,Growling Grass Frog,23
New Holland Mouse,Orange-bellied Parrot,13
Orange-bellied Parrot,New Holland Mouse,13
Green Turtle,New Holland Mouse,17
New Holland Mouse,Green Turtle,17
Australasian Bittern,Olive Ridley Turtle,12
Olive Ridley Turtle,Australasian Bittern,12
Olive Ridley Turtle,Swift Parrot,7
Swift Parrot,Olive Ridley Turtle,7
New Holland Mouse,Plains-wanderer,2
Plains-wanderer,New Holland Mouse,2
Native Guava,Olive Ridley Turtle,7
Olive Ridley Turtle,Native Guava,7
Eastern Curlew,Southern Bent-wing Bat,8
Southern Bent-wing Bat,Eastern Curlew,8
Green Turtle,Growling Grass Frog,3
Growling Grass Frog,Green Turtle,3
Australasian Bittern,Brush-tailed Rock-wallaby,20
Brush-tailed Rock-wallaby,Australasian Bittern,20
Australian Sea-lion,Growling Grass Frog,5
Growling Grass Frog,Australian Sea-lion,5
Regent Honeyeater,Southern Bent-wing Bat,6
Southern Bent-wing Bat,Regent Honeyeater,6
Brush-tailed Rock-wallaby,Eastern Hooded Plover,1
Eastern Hooded Plover,Brush-tailed Rock-wallaby,1
Brush-tailed Rock-wallaby,Orange-bellied Parrot,1
Orange-bellied Parrot,Brush-tailed Rock-wallaby,1
Brush-tailed Rock-wallaby,Plains-wanderer,2
Plains-wanderer,Brush-tailed Rock-wallaby,2
New Holland Mouse,Southern Bent-wing Bat,1
Southern Bent-wing Bat,New Holland Mouse,1
Malleefowl,New Holland Mouse,2
New Holland Mouse,Malleefowl,2
Brush-tailed Rock-wallaby,Green Turtle,3
Green Turtle,Brush-tailed Rock-wallaby,3
Brush-tailed Rock-wallaby,Eastern Curlew,1
Eastern Curlew,Brush-tailed Rock-wallaby,1
